Variables in Model,p,SSE,R_Squared,Adjusted R_Squared,Cp,AIC,BIC
"['x1', 'x7_4']",2,132.65522034712063,0.3412685622367877,0.32929162700472925,51.868040998201735,24.121314539206793,32.30347799534381
"['x1', 'x6_2']",2,140.82214150248976,0.30071374878355417,0.2879994533068915,61.64875495386195,30.872415043049433,39.054578499186455
"['x2', 'x3']",2,116.6376385041992,0.42080772164014857,0.4102769529426967,32.68536697862987,9.580314975477979,17.762478431615
"['x2', 'x4']",2,159.6486472775428,0.20722620125390023,0.1928121321857894,84.19539943191268,45.05140189195113,53.23356534808815
"['x2', 'x5']",2,171.02207474580476,0.15074870863160272,0.1353077760612682,97.81622895215202,52.8277448339503,61.009908290087324
"['x2', 'x9']",2,140.21324314141103,0.3037373802079001,0.2910780598480437,60.91953759220468,30.38275696989856,38.564920426035584
"['x2', 'x10']",2,172.3870161530262,0.14397076341927795,0.12840659548144662,99.4508843156965,53.72602735083817,61.9081908069752
"['x2', 'x7_2']",2,201.307572572107,0.00035877694032615537,-0.01781651802439521,134.08617519120605,71.25141286709017,79.43357632322719
"['x2', 'x7_3']",2,191.2667645600422,0.050218826780689785,0.03295007817670237,122.06129222963318,65.46978780206402,73.65195125820104
"['x2', 'x7_4']",2,201.3666507448674,6.541004846116749e-05,-0.01811521885974865,134.15692727731047,71.28457035859698,79.466733814734
"['x2', 'x6_2']",2,190.19357614126653,0.05554800227970924,0.03837614777570386,120.77604057299496,64.83396489552896,73.016128351666
"['x3', 'x4']",2,114.74288467660081,0.4302165779956725,0.4198568794137756,30.41620766490871,7.729580387712321,15.911743843849344
"['x3', 'x5']",2,105.58454851477191,0.47569450137945535,0.4661616741318091,19.44817398311679,-1.6699630302731538,6.512200425863869
"['x3', 'x9']",2,99.16120016598873,0.5075911842387947,0.4986382966795,11.755564780478906,-8.762433936855237,-0.5802704807182142
"['x3', 'x10']",2,110.73860828617298,0.45010077657429537,0.4401026088756461,25.62068175874387,3.715673948046616,11.897837404183639
"['x3', 'x7_2']",2,120.24310825765154,0.40290389344334887,0.3920476005968643,37.003281608076065,13.020438783424575,21.2026022395616
"['x3', 'x7_3']",2,118.81104952933187,0.41001512587429967,0.39928812816292336,35.288246465341416,11.666565053889078,19.8487285100261
"['x3', 'x7_4']",2,119.87815656207441,0.404716148961923,0.39389280621577605,36.56621504723063,12.676949227133191,20.85911268327021
"['x3', 'x6_2']",2,117.86183886207917,0.4147286599963894,0.4040873629054146,34.15147070328368,10.760154680987846,18.942318137124868
"['x4', 'x5']",2,133.80865656372137,0.33554089697619416,0.3234598223757613,53.24939750771745,25.099601788233915,33.28176524437094
"['x4', 'x9']",2,114.37769134068571,0.43203003343756363,0.421703306772792,29.97885171532289,7.369360606304726,15.551524062441748
"['x4', 'x10']",2,137.2536237028083,0.31843408315649957,0.3060419755775269,57.37509402578743,27.97202097945736,36.15418443559438
"['x4', 'x7_2']",2,159.65189425969405,0.207210077582209,0.19279571535643092,84.19928802138676,45.05370009652877,53.23586355266579
"['x4', 'x7_3']",2,157.0315914293672,0.2202218222107224,0.2060440371600082,81.061210406448,43.18368798290367,51.365851439040696
"['x4', 'x7_4']",2,159.1976175578712,0.20946589792724335,0.19509255061682962,83.65524573265608,44.731709313185334,52.91387276932235
"['x4', 'x6_2']",2,152.35530958866315,0.2434430256601775,0.22968744430854438,75.46089001766774,39.76751172245402,47.949675178591036
"['x5', 'x9']",2,141.36884221104404,0.29799897477896053,0.28523531977494176,62.30348433694297,31.31025509409021,39.49241855022723
"['x5', 'x10']",2,164.12913059993588,0.1849772824967062,0.17015868763301,89.56123129507728,48.179021952596514,56.36118540873353
"['x5', 'x7_2']",2,171.92259171636016,0.14627697478514945,0.13075473796306125,98.89468908831111,53.42118547613323,61.60334893227025
"['x5', 'x7_3']",2,164.4310945622489,0.18347780772886657,0.16863194968757322,89.92286367576455,48.386727783889015,56.56889124002603
"['x5', 'x7_4']",2,171.4190827057684,0.14877727001361252,0.1333004931047691,98.29168613125944,53.0897572620659,61.27192071820292
"['x5', 'x6_2']",2,168.35028621537927,0.16401611790066373,0.14881641095340303,94.61649200490285,51.048470052621624,59.23063350875864
"['x9', 'x10']",2,137.58805842845095,0.3167733670001134,0.3043510645819336,57.77561342913688,28.247023972865165,36.429187429002184
"['x9', 'x7_2']",2,141.25939764950002,0.2985424481017033,0.2857886744308251,62.17241340701719,31.222739168018926,39.40490262415595
"['x9', 'x7_3']",2,136.0533770957341,0.3243941966829754,0.31211045480448407,55.9376773400237,26.979519959621665,35.16168341575869
"['x9', 'x7_4']",2,140.68896933314943,0.30137504725601605,0.28867277538794356,61.489267814168414,30.765503055005052,38.947666511142074
"['x9', 'x6_2']",2,140.87582876333832,0.3004471517628282,0.287728009067607,61.71305087780112,30.91548713578488,39.097650591921905
"['x10', 'x7_2']",2,172.3180297338174,0.14431333209415464,0.12875539267768477,99.36826610250822,53.68079757791963,61.86296103405665
"['x10', 'x7_3']",2,166.97591399326603,0.17084089409463932,0.15576527398726903,92.97054228684325,50.122178396064264,58.30434185220129
"['x10', 'x7_4']",2,172.06782953261742,0.14555576143717486,0.13002041164512346,99.0686260603147,53.51660600646488,61.6987694626019
"['x10', 'x6_2']",2,172.2558829964099,0.14462193668310042,0.1290696082591568,99.2938390999332,53.64003661985665,61.82220007599368
"['x7_2', 'x7_3']",2,189.72354115479115,0.05788207418151414,0.040752657348450794,120.21312614485137,64.55435664334064,72.73652009947767
"['x7_2', 'x7_4']",2,201.27758653846155,0.0005076798105216884,-0.01766490782928698,134.0502638836066,71.23457955005638,79.4167430061934
"['x7_2', 'x6_2']",2,190.42516872204905,0.05439797355626319,0.037205209439104214,121.05339610806067,64.9714776439746,73.15364110011163
"['x7_3', 'x7_4']",2,190.6391813063063,0.05333524253853039,0.036123156039231,121.30969781952703,65.09840331708926,73.28056677322628
"['x7_3', 'x6_2']",2,182.87636500451487,0.09188337603972141,0.07537216469498909,112.01294029074364,60.400743035576156,68.58290649171317
"['x7_4', 'x6_2']",2,190.40038756920882,0.05452103033757394,0.03733050361643886,121.02371817156407,64.95677132908246,73.13893478521948
"['x1', 'x2', 'x3']",3,94.31421058062529,0.5316600780978904,0.5187699885042543,7.950804604811296,-12.425421782698347,-1.5158705078489838
"['x1', 'x2', 'x4']",3,126.88141068570013,0.3699398043461286,0.35259869804372845,46.95332005766036,21.09275148385606,32.002302758705426
"['x1', 'x2', 'x5']",3,131.1246580477278,0.3488689378678975,0.330947899460592,52.03503786802736,24.80995233880581,35.71950361365518
"['x1', 'x2', 'x9']",3,117.2493080153146,0.4177703294030495,0.401745659570106,35.41790307268596,12.171359609334612,23.080910884183975
"['x1', 'x2', 'x10']",3,132.76928422643124,0.34070215057942543,0.3225563382100518,54.00464402827711,26.21843608551056,37.127987360359924
"['x1', 'x2', 'x7_2']",3,139.7380517640934,0.30609705741000326,0.2869988112836731,62.35044786459238,31.999142547074094,42.90869382192346
"['x1', 'x2', 'x7_3']",3,136.53718011118747,0.3219917563181718,0.30333097896913075,58.5170803751472,29.3806328867193,40.29018416156866
"['x1', 'x2', 'x7_4']",3,129.90277332378642,0.35493650067376425,0.3371824594079045,50.57170734918128,23.752025349351573,34.66157662420093
"['x1', 'x2', 'x6_2']",3,139.32642968688975,0.3081410659459807,0.28909907693531955,61.857488802251396,31.665790712298396,42.57534198714776
"['x1', 'x3', 'x4']",3,93.73472074734104,0.5345376743962107,0.5217267847006936,7.256806929097209,-13.121863479843157,-2.2123122049937933
"['x1', 'x3', 'x5']",3,87.93623727959874,0.5633314402320537,0.5513130395044956,0.3125366103703584,-20.337670285516513,-9.42811901066715
"['x1', 'x3', 'x9']",3,85.22459632278635,0.5767967463203045,0.5651489503474688,-2.9349276475156927,-23.877044315488476,-12.967493040639113
"['x1', 'x3', 'x10']",3,91.88152151373208,0.5437401814098619,0.5311825717238947,5.0374134438470435,-15.378330579677673,-4.46877930482831
"['x1', 'x3', 'x7_2']",3,94.55962122794068,0.5304414324379194,0.5175178021380458,8.24470867188893,-12.131771587886362,-1.222220313036999
"['x1', 'x3', 'x7_3']",3,94.05707305105858,0.5329369564153148,0.5200820102616077,7.642856410367955,-12.733924844615878,-1.8243735697665144
"['x1', 'x3', 'x7_4']",3,86.89589639360447,0.5684975033979154,0.5566212878951058,-0.9333768040867625,-21.682502098806754,-10.772950823957391
"['x1', 'x3', 'x6_2']",3,94.62839189609335,0.5300999351263955,0.5171669058179478,8.327068501369908,-12.049619598283993,-1.1400683234346296
"['x1', 'x4', 'x5']",3,115.7943658503101,0.42499519504869165,0.4091693747289309,33.67546270045554,10.760374294356875,21.66992556920624
"['x1', 'x4', 'x9']",3,103.82981976017102,0.48440802951938977,0.4702174248272628,19.346708854211982,-1.563710739178381,9.345840535670982
"['x1', 'x4', 'x10']",3,119.30817748228768,0.407546517323898,0.39124045816767505,37.88360746059567,14.138392054209483,25.047943329058846
"['x1', 'x4', 'x7_2']",3,128.02784810892646,0.36424689327827897,0.34674910135015824,48.326294804363926,22.10917829311138,33.01872956796075
"['x1', 'x4', 'x7_3']",3,126.58753267705892,0.3713991263587476,0.35409818488238287,46.60137142417943,20.830721513508593,31.740272788357956
"['x1', 'x4', 'x7_4']",3,120.20672688604888,0.4030845539039748,0.38665568841509335,38.95971123655042,14.986243750435545,25.895795025284908
"['x1', 'x4', 'x6_2']",3,126.85542857523899,0.3700688247715086,0.35273126948999056,46.922203852967016,21.0696095664197,31.979160841269064
"['x1', 'x5', 'x9']",3,117.28257976422125,0.4176051105225801,0.40157589338099975,35.45774935657553,12.20342098646563,23.112972261314994
"['x1', 'x5', 'x10']",3,129.7687609674011,0.35560197129734084,0.3378662457367172,50.41121400053825,23.635390326900442,34.544941601749805
"['x1', 'x5', 'x7_2']",3,131.50111235723415,0.34699956335022564,0.3290270742681217,52.48587997224391,25.133906580188512,36.04345785503787
"['x1', 'x5', 'x7_3']",3,128.20028208656498,0.36339063084323164,0.34586927205910045,48.53280192980745,22.261269653258346,33.17082092810771
"['x1', 'x5', 'x7_4']",3,122.32655777219878,0.39255802321953537,0.37583943670264186,41.4984230885897,16.96161789825866,27.871169173108022
"['x1', 'x5', 'x6_2']",3,131.4140890829753,0.34743169837229393,0.32947110291465065,52.38166080117341,25.059102002161094,35.96865327701046
"['x1', 'x9', 'x10']",3,113.20176061267526,0.4378694006116963,0.42239791622486234,30.570555753658056,8.201580705796824,19.11113198064619
"['x1', 'x9', 'x7_2']",3,117.20565173982331,0.4179871151506932,0.40196841189795984,35.36562026808596,12.129277674342232,23.038828949191597
"['x1', 'x9', 'x7_3']",3,114.45874055162729,0.43162756406535585,0.4159842860121089,32.07591634144953,9.449405214093986,20.35895648894335
