Crietria,Variables in Model,p,SSE,R_Squared,Adjusted R_Squared,Cp,AIC,BIC
R-Squared,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",11,70.5283914026392,0.6497742904484571,0.611630896338883,-4.5351191790854415,-29.26508967849835,3.463564146049741
Adjusted R-Squared,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4']",10,71.02988422860923,0.6472840070701373,0.6127040077632879,-5.9345308070030285,-30.464445192600124,-0.4631791867643784
SSE,"['x1', 'x2', 'x3', 'x4', 'x5', 'x9', 'x10', 'x7_2', 'x7_3', 'x7_4', 'x6_2']",11,70.5283914026392,0.6497742904484571,0.611630896338883,-4.5351191790854415,-29.26508967849835,3.463564146049741
Cp,"['x2', 'x3', 'x4', 'x9', 'x6_2']",5,88.60471712981797,0.5600119425771732,0.5394517529779757,5.113108830394609,-15.481907560651482,0.8824193516225627
AIC,"['x1', 'x3', 'x4', 'x9', 'x7_4', 'x6_2']",6,75.2590956568303,0.62628283940083,0.6051290378574807,-8.86962244673984,-31.928968635517045,-12.837253904530662
BIC,"['x1', 'x3', 'x9', 'x7_4']",4,78.36844850096274,0.6108425991738079,0.5964293621061711,-9.145857985553064,-31.354204889066537,-17.717265795504833
Backward Elimination,"['x1', 'x3', 'x5', 'x7_4']",4.0,79.9861138306381,0.6028096924729036,0.5880989403422704,-7.208540168404582,-29.04542971305594,-15.408490619494234
